# alpha,mse
1.000000000000000048e-04,6.358791278201737611e-03
1.000000000000000021e-03,6.358780349329145980e-03
1.000000000000000056e-01,6.357588911846213942e-03
5.000000000000000000e-01,6.352988382389848469e-03
1.000000000000000000e+00,6.347704041701926654e-03
5.000000000000000000e+00,6.321583031843260210e-03
1.000000000000000000e+01,6.320035981563909035e-03
2.000000000000000000e+01,6.381919256997233177e-03
