# alpha,mse
9.999999999999999547e-07,6.357061949418048308e-03
1.000000000000000082e-05,6.343437158385758882e-03
1.000000000000000048e-04,6.375479848450093905e-03
1.000000000000000021e-03,9.043569122851471617e-03
1.000000000000000021e-02,2.387074670339076055e-02
1.000000000000000056e-01,8.298710432290705430e-02
