# alpha,mse
1.000000000000000056e-01,9.399869701257730636e-02
1.000000000000000021e-02,3.515757417465133899e-02
1.000000000000000021e-03,1.178377001874028260e-02
1.000000000000000048e-04,6.998785597325720559e-03
1.000000000000000082e-05,6.429610976812868972e-03
9.999999999999999547e-07,6.421163395524367296e-03
