# alpha,mse
1.000000000000000056e-01,2.219200503178227757e-01
1.000000000000000021e-02,3.008217821176683779e-02
1.000000000000000021e-03,9.836594460468459089e-03
1.000000000000000048e-04,5.600133142905263338e-03
1.000000000000000082e-05,5.368519031760682174e-03
9.999999999999999547e-07,5.490084417523721436e-03
