# alpha,mse
1.000000000000000048e-04,5.388304444641007183e-03
1.000000000000000021e-03,5.388216940807921511e-03
1.000000000000000056e-01,5.379054131564446270e-03
5.000000000000000000e-01,5.349157527891861517e-03
1.000000000000000000e+00,5.322638988005247256e-03
5.000000000000000000e+00,5.276403079017606516e-03
1.000000000000000000e+01,5.343122156986555328e-03
2.000000000000000000e+01,5.556856176707010778e-03
