# alpha,mse
9.999999999999999547e-07,5.584338897623172294e-03
1.000000000000000082e-05,5.434920995071001494e-03
1.000000000000000048e-04,5.432766878594533395e-03
1.000000000000000021e-03,8.606981775854517444e-03
1.000000000000000021e-02,2.170181985889010901e-02
1.000000000000000056e-01,1.791183588861200993e-01
